epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,21470.9,0.53788,0.36573,0.98884,0.92369,0.9146,0.94245,0.70606,0.92605,0.53939,1.25018,0.0010075,0.0010075,0.0010075
111,21688.4,0.45185,0.27573,0.94025,0.92357,0.91489,0.94213,0.70596,0.92574,0.53929,1.25024,0.000925,0.000925,0.000925
112,21884.1,0.43611,0.26757,0.93568,0.92368,0.91508,0.9423,0.70721,0.92532,0.5391,1.25036,0.0008425,0.0008425,0.0008425
113,22078.3,0.42356,0.25905,0.91882,0.92201,0.91519,0.94236,0.70738,0.925,0.53925,1.25023,0.00076,0.00076,0.00076
114,22270.1,0.41418,0.25044,0.91395,0.92183,0.91436,0.94272,0.70791,0.92422,0.5391,1.25019,0.0006775,0.0006775,0.0006775
115,22462,0.40623,0.24631,0.91261,0.92058,0.91516,0.94266,0.70834,0.92446,0.53779,1.25134,0.000595,0.000595,0.000595
116,22655.8,0.40345,0.24541,0.91189,0.92007,0.91555,0.94286,0.70897,0.92383,0.53726,1.25155,0.0005125,0.0005125,0.0005125
117,22850.6,0.39613,0.24498,0.90684,0.91996,0.91544,0.94297,0.70954,0.9233,0.53741,1.25157,0.00043,0.00043,0.00043
118,23042.8,0.39398,0.23945,0.9113,0.91959,0.9149,0.94325,0.70964,0.92298,0.53762,1.25205,0.0003475,0.0003475,0.0003475
119,23236.3,0.38879,0.25024,0.90457,0.92025,0.91477,0.94338,0.71013,0.92214,0.53783,1.25232,0.000265,0.000265,0.000265
120,23431.3,0.38502,0.23149,0.91163,0.92278,0.91394,0.9437,0.71072,0.92195,0.53839,1.25252,0.0001825,0.0001825,0.0001825
